,job name,posted time,job time,job address,company name,link
62,Market Research Manager,2 days ago,Full Time,"Dokki, Giza, Egypt ",intella ,https://wuzzuf.net/jobs/p/uO47CaX0JSAL-Market-Research-Manager-intella-Giza-Egypt?o=63&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
63,Senior R&D Analyst,2 months ago,Full Time,"Nasr City, Cairo, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/3Prgdh0XYKnp-Senior-RD-Analyst-Z2-Data-Cairo-Egypt?o=64&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
64,Senior Software Business Analyst / ERP,2 months ago,Full Time,"Maadi, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/IEhjrumWL67P-Senior-Software-Business-Analyst-ERP-Cairo-Egypt?o=65&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
65,Plastic Quality Manager / Plastic Injection Factory,1 month ago,Full Time,"6th of October, Giza, Egypt ",El Teriak Industrial Group ,https://wuzzuf.net/jobs/p/BzdhZCK3C4vP-Plastic-Quality-Manager-Plastic-Injection-Factory-El-Teriak-Industrial-Group-Giza-Egypt?o=66&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
66,Quality Assurance Specialist - ISO 9001.,1 month ago,Part Time,"6th of October, Giza, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/INPmyPsTnhaz-Quality-Assurance-Specialist---ISO-9001-Giza-Egypt?o=67&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
67,Forecasting Specialist,1 month ago,Full Time,"Nasr City, Cairo, Egypt ",Kimal Medical Technologies ,https://wuzzuf.net/jobs/p/Pd5Fs3xYVIP3-Forecasting-Specialist-Kimal-Medical-Technologies-Cairo-Egypt?o=68&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
68,Treasury Section Head,1 month ago,Full Time,"Gharbia, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/cIqIAyoWPkw4-Treasury-Section-Head-Gharbia-Egypt?o=69&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
69,Executive Assistant/Sales Analyst,1 month ago,Full Time,"Basatin, Cairo, Egypt ",Rashideen Egypt for Trade  ,https://wuzzuf.net/jobs/p/QM4gp90QybKC-Executive-AssistantSales-Analyst-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=70&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
70,Public Relations & Marketing Planner,1 month ago,Full Time,"Maadi, Cairo, Egypt ",Vision 22 Advertising Agency ,https://wuzzuf.net/jobs/p/Uavkg9PHRMXX-Public-Relations-Marketing-Planner-Vision-22-Advertising-Agency-Cairo-Egypt?o=71&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
71,Senior Data Analyst,1 month ago,Full Time,"Heliopolis, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=72&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
72,Sales Analyst,1 month ago,Full Time,"Mohandessin, Giza, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/DXHSx6xqKhiI-Sales-Analyst-Giza-Egypt?o=73&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
73,Financial Manager,2 months ago,Full Time,"10th of Ramadan City, Cairo, Egypt ",Altayar recruitment ,https://wuzzuf.net/jobs/p/rA0Zu4XQPOap-Financial-Manager-Altayar-recruitment-Cairo-Egypt?o=74&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
74,Senior Software Business Analyst,1 month ago,Full Time,"Maadi, Cairo, Egypt ",Softec Technologies ,https://wuzzuf.net/jobs/p/Jn0hHELYsTGk-Senior-Software-Business-Analyst-Softec-Technologies-Cairo-Egypt?o=75&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
75,Digital Marketing Manager,2 days ago,Full Time,"Sheraton, Cairo, Egypt ",Affsquare ,https://wuzzuf.net/jobs/p/hcbZVLDwWzSJ-Digital-Marketing-Manager-Affsquare-Cairo-Egypt?o=76&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
76,Cost Accountant,2 days ago,Full Time,"Downtown, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/NwRcxBLV2fMm-Cost-Accountant-Cairo-Egypt?o=77&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
77,Market Researcher,2 days ago,Full Time,"Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/83nwPj4ZONAc-Market-Researcher-Cairo-Egypt?o=78&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
78,OMD Admin,1 day ago,Full Time,"Maadi, Cairo, Egypt ",Sykes Enterprises ,https://wuzzuf.net/jobs/p/TRVGifV53RKn-OMD-Admin-Sykes-Enterprises-Cairo-Egypt?o=79&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
79,Feasibility Study Specialist,6 days ago,Full Time,"Downtown, Cairo, Egypt ",MAJ Consulting Group ,https://wuzzuf.net/jobs/p/My3DPV6jcYo1-Feasibility-Study-Specialist-MAJ-Consulting-Group-Cairo-Egypt?o=80&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
80,Market Researcher,1 day ago,Full Time,"Downtown, Cairo, Egypt ",MAJ Consulting Group ,https://wuzzuf.net/jobs/p/MN7C70w0JHHA-Market-Researcher-MAJ-Consulting-Group-Cairo-Egypt?o=81&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
81,Market Researcher,3 days ago,Full Time,"Nasr City, Cairo, Egypt ",Infotech ,https://wuzzuf.net/jobs/p/nX4GNJgJneJl-Market-Researcher-Infotech-Cairo-Egypt?o=82&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
82,Senior Accountant,2 days ago,Full Time,"Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/Yq5xtbJ8EH5y-Senior-Accountant-Cairo-Egypt?o=83&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
83,Financial Manager (Real Estate ),2 days ago,Full Time,"New Cairo, Cairo, Egypt ",GV Investment Group ,https://wuzzuf.net/jobs/p/b4RmUbIAhuXl-Financial-Manager-Real-Estate-GV-Investment-Group-Cairo-Egypt?o=84&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
84,Chief Accountant,13 days ago,Full Time,"Sidi Bishr, Alexandria, Egypt ",Wham Clinics  ,https://wuzzuf.net/jobs/p/lAYWa6tDxIqP-Chief-Accountant-Wham-Clinics-Alexandria-Egypt?o=85&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
85,Customer Insights Specialist,1 month ago,Full Time,"Cairo, Egypt ",Qoyod ,https://wuzzuf.net/jobs/p/jWt06kin02Zf-Customer-Insights-Specialist-Qoyod-Cairo-Egypt?o=86&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
86,Cost Accounting Section Head,8 days ago,Full Time,"New Cairo, Cairo, Egypt ",Style Home Development ,https://wuzzuf.net/jobs/p/sW8FKu8gV0G9-Cost-Accounting-Section-Head-Style-Home-Development-Cairo-Egypt?o=87&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
87,Senior Cost Accountant - 6th Of October,16 days ago,Full Time,"6th of October, Giza, Egypt ",Nile Projects & Trading ,https://wuzzuf.net/jobs/p/lBMB3Ccf2utz-Senior-Cost-Accountant---6th-Of-October-Nile-Projects-Trading-Giza-Egypt?o=88&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
88,Financial Analyst,8 days ago,Full Time,"10th of Ramadan City, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/khwBfk200wi9-Financial-Analyst-Cairo-Egypt?o=89&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
89,Internal Auditor,21 days ago,Full Time,"Gharbia, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/AlKlE29dsd5q-Internal-Auditor-Gharbia-Egypt?o=90&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
90,Senior Account Payable,3 days ago,Full Time,"Giza, Giza, Egypt ",Eden ,https://wuzzuf.net/jobs/p/s0vh3kjauaXJ-Senior-Account-Payable-Eden-Giza-Egypt?o=91&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
91,Senior Business Analyst,6 days ago,Full Time,"Heliopolis, Cairo, Egypt ",Easy Cash ,https://wuzzuf.net/jobs/p/TyuOp04PIr0f-Senior-Business-Analyst-Easy-Cash-Cairo-Egypt?o=92&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
92,Product Analyst,3 hours ago,Full Time,"Cairo, Egypt ",Unifonic ,https://wuzzuf.net/jobs/p/QclH1KOocgVK-Product-Analyst-Unifonic-Cairo-Egypt?o=93&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
93,Cash Flow Analyst,7 days ago,Work From Home,"New Cairo, Cairo, Egypt ",The International School of Elite Education ,https://wuzzuf.net/jobs/p/anwQfniZEZkK-Cash-Flow-Analyst-The-International-School-of-Elite-Education-Cairo-Egypt?o=94&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
94,Head Of Accounting,7 days ago,Full Time,"Port Said, Egypt ",Servizon ,https://wuzzuf.net/jobs/p/eOw7A32jH5pf-Head-Of-Accounting-Servizon-Port-Said-Egypt?o=95&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
95,Treasury Accountant,2 hours ago,Full Time,"New Cairo, Cairo, Egypt ",T&D Design ,https://wuzzuf.net/jobs/p/yJ3MroBWvV5O-Treasury-Accountant-TD-Design-Cairo-Egypt?o=96&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
